learner_id,session_id,prompt_count,verification_rate,revision_rate,reflection_rate,answer_adoption_rate,median_latency_s,intent_diversity,agency_index
L000,L000-S00,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,11.075123730431036,2,0.48333333333333334
L000,L000-S01,5,0.6,1.0,0.4,0.4,29.167890497225827,5,0.65
L000,L000-S02,5,0.6,0.4,0.4,0.4,23.829145179733985,2,0.5
L000,L000-S03,6,0.3333333333333333,1.0,0.6666666666666666,0.16666666666666666,35.15988904423746,4,0.6833333333333333
L001,L001-S00,5,0.4,0.2,0.4,0.6,26.1892605572555,3,0.35000000000000003
L001,L001-S01,4,0.75,0.5,0.25,0.5,39.65127037303928,2,0.5125
L001,L001-S02,4,0.25,0.25,0.5,0.75,51.99213647012458,3,0.3125
L001,L001-S03,6,0.6666666666666666,0.5,0.6666666666666666,0.5,16.912472841651716,3,0.5916666666666666
L002,L002-S00,5,0.6,0.6,0.2,0.2,13.925085311873394,4,0.54
L002,L002-S01,3,0.6666666666666666,0.0,0.0,1.0,34.95324287687438,3,0.19999999999999998
L002,L002-S02,6,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,24.25721719946739,4,0.4666666666666667
L002,L002-S03,3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,50.36199623567154,2,0.23333333333333334
L003,L003-S00,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,29.437019917001425,3,0.4
L003,L003-S01,3,0.0,0.6666666666666666,0.3333333333333333,0.0,25.01955977738912,2,0.45
L003,L003-S02,6,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666,35.739426361658374,2,0.3
L003,L003-S03,3,0.0,0.6666666666666666,0.0,0.3333333333333333,8.324721393482024,2,0.30000000000000004
L004,L004-S00,7,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.42857142857142855,27.058287405289455,4,0.6142857142857143
L004,L004-S01,6,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,36.811077489313064,3,0.5583333333333332
L004,L004-S02,6,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,27.27717934508856,4,0.4083333333333333
L004,L004-S03,6,0.5,0.5,0.16666666666666666,0.8333333333333334,41.294519725695025,4,0.35000000000000003
L005,L005-S00,4,0.25,0.75,0.75,1.0,52.46247986219068,4,0.45
L005,L005-S01,5,0.4,0.0,0.4,0.8,39.10316136552558,3,0.26
L005,L005-S02,4,0.5,0.25,0.25,0.75,41.8534024959158,2,0.325
L005,L005-S03,3,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,30.978608477790438,2,0.5
L006,L006-S00,3,1.0,0.3333333333333333,1.0,0.3333333333333333,48.4666707137963,1,0.7666666666666666
L006,L006-S01,7,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.8571428571428571,22.194355223218412,4,0.4714285714285714
L006,L006-S02,6,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,23.32205997518942,4,0.575
L006,L006-S03,7,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,42.27817940719292,4,0.7000000000000001
L007,L007-S00,7,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,24.152962264207936,4,0.2357142857142857
L007,L007-S01,6,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,41.39863279371055,1,0.19166666666666668
L007,L007-S02,4,0.5,0.5,0.0,0.5,30.505107320895863,3,0.375
L007,L007-S03,6,0.5,0.5,0.16666666666666666,0.6666666666666666,16.80872069731281,3,0.3833333333333334
L008,L008-S00,5,0.8,1.0,0.6,0.0,18.3845115528486,3,0.8400000000000001
L008,L008-S01,4,1.0,0.75,0.5,0.5,36.98849430079868,3,0.7125
L008,L008-S02,7,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.14285714285714285,17.810137598474448,3,0.7857142857142858
L008,L008-S03,3,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,39.28409858930116,2,0.75
L009,L009-S00,7,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,30.143108156215554,3,0.32142857142857145
L009,L009-S01,6,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.5,24.353496546133414,3,0.42500000000000004
L009,L009-S02,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,44.97657879993827,4,0.4
L009,L009-S03,5,0.8,0.4,0.4,0.4,35.13476714348967,3,0.5599999999999999
L010,L010-S00,5,1.0,0.6,0.0,0.0,20.133996983741298,4,0.6499999999999999
L010,L010-S01,6,0.5,0.6666666666666666,0.5,0.6666666666666666,27.736933633928793,3,0.5083333333333333
L010,L010-S02,5,1.0,0.8,0.4,0.4,54.087309133041515,3,0.72
L010,L010-S03,3,1.0,1.0,0.3333333333333333,0.3333333333333333,13.902123624229821,3,0.7666666666666668
L011,L011-S00,4,0.75,0.25,0.0,0.5,28.413179545456405,3,0.38749999999999996
L011,L011-S01,5,0.2,0.8,0.0,0.6,55.40411493566232,3,0.34
L011,L011-S02,5,0.6,0.4,0.4,0.6,75.2621419451168,3,0.46
L011,L011-S03,7,0.2857142857142857,0.7142857142857143,0.0,0.42857142857142855,45.00394655039779,2,0.37857142857142856
L012,L012-S00,5,0.8,0.6,0.2,0.4,42.3880699115713,3,0.56
L012,L012-S01,3,0.6666666666666666,0.6666666666666666,1.0,0.0,24.949932535833607,2,0.8166666666666667
L012,L012-S02,7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,14.434048671079143,4,0.35000000000000003
L012,L012-S03,4,0.5,0.5,0.25,0.5,17.578002773649807,2,0.4375
L013,L013-S00,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,19.636637349385012,2,0.5833333333333333
L013,L013-S01,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,36.37219488873823,4,0.34285714285714286
